Tỉnh Thành,Latitude,Longitude
Lào Cai,22.0043,103.5751
Yên Bái,21.7357,104.8635
Điện Biên,21.0311,103.2507
Hòa Bình,20.8224,105.3470
Lai Châu,22.3287,103.8265
Sơn La,21.3146,103.9063
Hà Giang,22.8,104.9833
Cao Bằng,22.6639,106.2889
Bắc Kạn,22.1593,105.8441
Lạng Sơn,21.8452,106.7649
Tuyên Quang,21.7975,105.1899
Thái Nguyên,21.5910,105.8549
Phú Thọ,21.1643,105.2410
Bắc Giang,21.2713,106.1849
Quảng Ninh,21.0285,107.3653
Bắc Ninh,21.1855,106.0849
Hà Nam,20.5845,105.8769
Hà Nội,21.0285,105.8542
Hải Dương,20.9155,106.3319
Hưng Yên,20.9897,106.0341
Hải Phòng,20.8449,106.6883
Nam Định,20.4033,106.1673
Ninh Bình,20.2530,105.9748
Thái Bình,20.4464,106.3520
Vĩnh Phúc,21.2675,105.5807
Thanh Hóa,19.8042,105.7542
Nghệ An,18.6763,105.6765 
Hà Tĩnh,18.3385,105.9188
Quảng Bình,17.4917,106.5871
Quảng Trị,16.7775,107.0899
Thừa Thiên Huế,16.4636,107.5755
Đà Nẵng,16.0470,108.2060
Quảng Nam,15.58,108.0159
Quảng Ngãi,14.9314,108.7619
Bình Định,13.7820,109.1911
Phú Yên,13.0931,109.3017
Khánh Hòa,12.2585,109.0520
Ninh Thuận,11.5674,108.9443
Bình Thuận,10.9332,108.1134
Kon Tum,14.3667,108.0144
Gia Lai,13.9834,108.3049
Đắk Lắk,12.3131,108.0533
Đắk Nông,12.0112,107.6741
Lâm Đồng,11.9484,108.4455
Bình Phước,11.4061,106.9992
Bình Dương,11.0068,106.6296
Đồng Nai,10.9453,106.8123
Tây Ninh,11.3190,106.1540
Bà Rịa Vũng Tàu,10.5024,107.2157
Long An,10.4888,106.4302
Đồng Tháp,10.3210,105.5975
Tiền Giang,10.3959,106.3580
An Giang,10.5705,105.1030
Bến Tre,10.2410,106.3800
Vĩnh Long,10.2537,105.9700
Trà Vinh,9.9295,106.3235
Hậu Giang,9.7914,105.4763
Kiên Giang,10.0102,104.7450
Sóc Trăng,9.6020,105.9710
Bạc Liêu,9.2907,105.7140
Cà Mau,9.1780,105.1500
TP. Hồ Chí Minh,10.8231,106.6297
Cần Thơ,10.0237,105.7469

